Untitled
,Activity count,27
,Participant count,68
,Average responses,70.55555555555556

"I read Section ""6.6: Historical Notes""",Activity type,Multiple choice
,Total responses,63
,Unique participants,63
,Response options,Count,Percent,Correctness
,True,53,84.13,Correct
,False,10,15.87,Incorrect

Choose one of the following:,Activity type,Multiple choice
,Total responses,63
,Unique participants,63
,Response options,Count,Percent,Correctness
,"I pledge that all Poll Everywhere answers I submit today will (a) be my own and represent my own understandings, and (b) I will not contribute to other students' answers while the poll is active.",63,100.0,Correct
,I will not be taking this quiz for credit.,0,0.0,Incorrect

The $$\mathbf{c}$$ in $$g(\mathbf{M}^Tx+\mathbf{c})$$ is,Activity type,Multiple choice
,Total responses,64
,Unique participants,64
,Response options,Count,Percent,Correctness
,the weights,0,0.0,Incorrect
,the biases,60,93.75,Correct
,an activation function,0,0.0,Incorrect
,an affine function,3,4.69,Incorrect
,a hidden layer,1,1.56,Incorrect

The $$\mathbf{M}$$ in $$g(\mathbf{M}^Tx+\mathbf{c})$$ is,Activity type,Multiple choice
,Total responses,64
,Unique participants,64
,Response options,Count,Percent,Correctness
,the weights,62,96.88,Correct
,the biases,0,0.0,Incorrect
,an activation function,0,0.0,Incorrect
,an affine function,1,1.56,Incorrect
,a hidden layer,1,1.56,Incorrect

The $$g$$ in $$g(\mathbf{M}^Tx+\mathbf{c})$$ is,Activity type,Multiple choice
,Total responses,65
,Unique participants,65
,Response options,Count,Percent,Correctness
,the weights,0,0.0,Incorrect
,the biases,0,0.0,Incorrect
,an activation function,59,90.77,Correct
,an affine function,6,9.23,Incorrect
,a hidden layer,0,0.0,Incorrect

$$\mathbf{M}^Tx+\mathbf{c}$$ is,Activity type,Multiple choice
,Total responses,65
,Unique participants,65
,Response options,Count,Percent,Correctness
,the weights,0,0.0,Incorrect
,the biases,0,0.0,Incorrect
,an activation function,0,0.0,Incorrect
,an affine function,56,86.15,Correct
,a hidden layer,9,13.85,Incorrect

$$g(\mathbf{M}^Tx+\mathbf{c})$$ is,Activity type,Multiple choice
,Total responses,65
,Unique participants,65
,Response options,Count,Percent,Correctness
,the weights,0,0.0,Incorrect
,the biases,0,0.0,Incorrect
,an activation function,3,4.62,Incorrect
,an affine function,1,1.54,Incorrect
,a hidden layer,61,93.85,Correct

FF networks and MLPs,Activity type,Multiple choice
,Total responses,73
,Unique participants,68
,Response options,Count,Percent,Correctness
,are general tools for arbitrary function estimation,34,46.58,Correct
,have been obsolete since the second AI winter,0,0.0,Incorrect
,are computationally tractable on modern data sets using gradient descent,37,50.68,Incorrect
,are techniques that prevent  cost function saturation,2,2.74,Incorrect

The universal approximation theorem says,Activity type,Multiple choice
,Total responses,66
,Unique participants,66
,Response options,Count,Percent,Correctness
,"a feedforward network having at least one hidden layer with any ""squashing"" activation function can approximate any function to arbitrary accuracy",50,75.76,Correct
,no algorithm is universally better than any other algorithm at fitting a model from data that will generalize to new data,7,10.61,Incorrect
,"given sufficient data, back-propagation and stochastic gradient descent can find a local minima approximating any function to arbitrary accuracy",9,13.64,Incorrect

Kernel methods providing transformations into alternative feature spaces,Activity type,Multiple choice
,Total responses,67
,Unique participants,67
,Response options,Count,Percent,Correctness
,are empirically competitive with FFN and MLP methodologies in terms of generalization,5,7.46,Incorrect
,"are sufficiently nonparametric and flexible so as to not require ""prior beliefs"" (e.g., architectures) like FFNs",8,11.94,Incorrect
,"seem very flexible, but their predefined nature often does not provide the best generalization",51,76.12,Correct
,"are computationally advantageous relative to FFN, MLP, and other deep network architectures",3,4.48,Incorrect

Deep learning is interested in,Activity type,Multiple choice
,Total responses,67
,Unique participants,67
,Response options,Count,Percent,Correctness
,estimating flexible transformations $$\hat\phi(x; \theta)$$,36,53.73,Correct
,leveraging flexible transformations $$\phi(x; \theta)$$,27,40.3,Incorrect
,enabling and facilitating manual feature engineering efforts on $$x$$,4,5.97,Incorrect

What message is this figure attempting to convey?,Activity type,Multiple choice
,Total responses,66
,Unique participants,66
,Response options,Count,Percent,Correctness
,That the key competitive advantage of deep learning frameworks is their incorporation of more modeling parameters compared to other methodologies.,2,3.03,Incorrect
,Using rectifying non-linearities is even more important than learning the weights of the hidden layers (Jarrett et al. 2009).,4,6.06,Incorrect
,That deeper networks have empirically consistently shown to generally provided improved generalization capability.,56,84.85,Correct
,"That saturation leads to vanishing gradients, which makes fitting feed-forward networks very challenging",4,6.06,Incorrect

Deeper networks encode a prior belief that,Activity type,Multiple choice
,Total responses,66
,Unique participants,66
,Response options,Count,Percent,Correctness
,"the ""local consistency"" or ""smoothness"" prior can be a limiting assumption",15,22.73,Incorrect
,composition of increasingly complex features captures relevant variation,38,57.58,Correct
,"While choosing a model implies ""prior"" beliefs, FFN give ""uninformative priors""",11,16.67,Incorrect
,NA: in general deep networks are not Bayesian Analyses and don't have priors,2,3.03,Incorrect

(a) is a symbolic representation of,Activity type,Multiple choice
,Total responses,67
,Unique participants,67
,Response options,Count,Percent,Correctness
,an affine function,8,11.94,Incorrect
,a common hidden layer,6,8.96,Incorrect
,a prediction and a penalty,3,4.48,Incorrect
,multiplication,50,74.63,Correct

(b) is a symbolic representation of,Activity type,Multiple choice
,Total responses,68
,Unique participants,68
,Response options,Count,Percent,Correctness
,an affine function,43,63.24,Correct
,a common hidden layer,13,19.12,Incorrect
,a prediction and a penalty,12,17.65,Incorrect
,multiplication,0,0.0,Incorrect

