Untitled
,Activity count,15
,Participant count,0
,Average responses,0.0

A Query-Key-Value system,Activity type,Multiple choice
,Total responses,0
,Unique participants,0
,Response options,Count,Percent,Correctness
,creates word+positional encodings,0,0,Incorrect
,can be used to implement attention,0,0,Correct
,leverages unique Query-Key matches,0,0,Incorrect

"To create $$context$$ $$vectors$$, the most important operation in the Query-Key-Value system is a",Activity type,Multiple choice
,Total responses,0
,Unique participants,0
,Response options,Count,Percent,Correctness
,weighted average calculation,0,0,Correct
,softmax operation,0,0,Correct
,dot product computation,0,0,Correct

Where might $$sin$$ and $$cos$$ be useful?,Activity type,Multiple choice
,Total responses,0
,Unique participants,0
,Response options,Count,Percent,Correctness
,https://s3.amazonaws.com/polleverywhere-images/b3b161362122dca202a86ad49d6a68d68d45835e2122b56b2a99f817e616aa24.png?pe_description=a.png,0,0,Incorrect
,https://s3.amazonaws.com/polleverywhere-images/63ab0f9a90886b0ad1b7310b3a7b954543cf4e97a69bede7e3c2d5e97273e7e9.png?pe_description=b.png,0,0,Correct
,https://s3.amazonaws.com/polleverywhere-images/ac955d4811091ad1a8837548f9c762241a73128dfbba31b81bfa3b9d965adf27.png?pe_description=e.png,0,0,Incorrect
,https://s3.amazonaws.com/polleverywhere-images/b1640413ab4c33d1c772bac6ccb10b3f6531e760aa5d969bdc60990707d2f1bc.png?pe_description=c.png,0,0,Incorrect
,https://s3.amazonaws.com/polleverywhere-images/c52d426b5a7c490c6941280e097fd0d40409bc2395bd02788c8408f1c3f67876.png?pe_description=d.png,0,0,Incorrect

Where does self-attention happen?,Activity type,Multiple choice
,Total responses,0
,Unique participants,0
,Response options,Count,Percent,Correctness
,https://s3.amazonaws.com/polleverywhere-images/b3b161362122dca202a86ad49d6a68d68d45835e2122b56b2a99f817e616aa24.png?pe_description=a.png,0,0,Incorrect
,https://s3.amazonaws.com/polleverywhere-images/63ab0f9a90886b0ad1b7310b3a7b954543cf4e97a69bede7e3c2d5e97273e7e9.png?pe_description=b.png,0,0,Incorrect
,https://s3.amazonaws.com/polleverywhere-images/ac955d4811091ad1a8837548f9c762241a73128dfbba31b81bfa3b9d965adf27.png?pe_description=e.png,0,0,Correct
,https://s3.amazonaws.com/polleverywhere-images/b1640413ab4c33d1c772bac6ccb10b3f6531e760aa5d969bdc60990707d2f1bc.png?pe_description=c.png,0,0,Correct
,https://s3.amazonaws.com/polleverywhere-images/c52d426b5a7c490c6941280e097fd0d40409bc2395bd02788c8408f1c3f67876.png?pe_description=d.png,0,0,Incorrect

Where do we choose what to focus on in the input?,Activity type,Multiple choice
,Total responses,0
,Unique participants,0
,Response options,Count,Percent,Correctness
,https://s3.amazonaws.com/polleverywhere-images/b3b161362122dca202a86ad49d6a68d68d45835e2122b56b2a99f817e616aa24.png?pe_description=a.png,0,0,Incorrect
,https://s3.amazonaws.com/polleverywhere-images/63ab0f9a90886b0ad1b7310b3a7b954543cf4e97a69bede7e3c2d5e97273e7e9.png?pe_description=b.png,0,0,Incorrect
,https://s3.amazonaws.com/polleverywhere-images/ac955d4811091ad1a8837548f9c762241a73128dfbba31b81bfa3b9d965adf27.png?pe_description=e.png,0,0,Incorrect
,https://s3.amazonaws.com/polleverywhere-images/b1640413ab4c33d1c772bac6ccb10b3f6531e760aa5d969bdc60990707d2f1bc.png?pe_description=c.png,0,0,Incorrect
,https://s3.amazonaws.com/polleverywhere-images/c52d426b5a7c490c6941280e097fd0d40409bc2395bd02788c8408f1c3f67876.png?pe_description=d.png,0,0,Correct

