Untitled
,Activity count,19
,Participant count,65
,Average responses,67.26315789473684

This image primarily demonstrates,Activity type,Multiple choice
,Total responses,62
,Unique participants,62
,Response options,Count,Percent,Correctness
,Regularization that is designed to cause preferential shrinkage to only some parameters,8,12.9,Incorrect
,Regularization that is not designed to cause 100% shrinkage to 0 for any parameters,49,79.03,Correct
,Regularization that can cause 100% shrinkage to 0 for some parameters,5,8.06,Incorrect

This image primarily demonstrates,Activity type,Multiple choice
,Total responses,61
,Unique participants,61
,Response options,Count,Percent,Correctness
,Regularization that is designed to cause preferential shrinkage to only some parameters,3,4.92,Incorrect
,Regularization that is not designed to cause 100% shrinkage to 0 for any parameters,0,0.0,Incorrect
,Regularization that can cause 100% shrinkage to 0 for some parameters,58,95.08,Correct

This image primarily demonstrates,Activity type,Multiple choice
,Total responses,63
,Unique participants,63
,Response options,Count,Percent,Correctness
,Regularization that is designed to cause preferential shrinkage to only some parameters,56,88.89,Correct
,Regularization that is not designed to cause 100% shrinkage to 0 for any parameters,7,11.11,Incorrect
,Regularization that can cause 100% shrinkage to 0 for some parameters,0,0.0,Incorrect

Choose one of the following:,Activity type,Multiple choice
,Total responses,65
,Unique participants,65
,Response options,Count,Percent,Correctness
,"I pledge that all Poll Everywhere answers I submit today will (a) be my own and represent my own understandings, and (b) I will not contribute to other students' answers while the poll is active.",62,95.38,Correct
,I will not be taking this quiz for credit.,3,4.62,Incorrect

"Strategies designed to reduce test error (i.e., minimize generalization error), possibly at the expense of increased training error are called",Activity type,Multiple choice
,Total responses,65
,Unique participants,65
,Response options,Count,Percent,Correctness
,Regularization,63,96.92,Correct
,Model Fitting,0,0.0,Incorrect
,Optimization,2,3.08,Incorrect

This is,Activity type,Multiple choice
,Total responses,65
,Unique participants,65
,Response options,Count,Percent,Correctness
,Sparse Representation Regularization,0,0.0,Incorrect
,$$L^2$$ Weight Decay Regularization (or ridge regression or Tikhonov regularization),5,7.69,Incorrect
,Multitask Learning Regularization,0,0.0,Incorrect
